ed,David I. Weprin,Khaleel Anderson,Clyde Vanel,Jessica Gonzalez-Rojas,Jeffrion L. Aubry,Zohran Kwame Mamdani,Catherine Nolan,Jenifer Rajkumar,Catalina Cruz,Ron Kim,Diana Richardson,Emily E. Gallagher,Marcela Mitaynes,Stefani L. Zinerman,Phara Souffrant Forrest,Yuh-Line Niou,Robert J. Rodriguez,Alfred E. Taylor,Dan Quart,Jose Rivera,Chantel Jackson,Jeffrey Dinowitz,Michael R. Benedetto,Kenneth Burgos,Karines Reyes,Albert Baldeo,Mahfuzul Islam,Derrick DeFlorimonte,Lisa George,Richard David,Shea Uzoigwe,Tavia Blakley,Oster Bryan,Angel Cruz,Joy Chowdhury,Michael G. DenDekker,Nuala O'Doherty-Naranjo,Hiram Monserrate,Aravella Simotas,Danielle Brecker,Mary Jobaida,Joseph De Jesus,Michael G. Miller,Ramon A. Ramirez,Steven Lee,Jesse E. Hamilton,Joseph R. Lentol,Felix W. Ortiz,Genesis E. Aquino,Katherine P. Walsh,Justin Cohen,Walter T. Mosley III,Grace Lee,Tamika Mapp,Guillermo A. Perez,Cameron Alex Koffman,Francisco Spies,Cynthia L. Cox,Dion Powell,Elvis Santana,Eric Stevenson,George A. Alvarez,George Diaz,Egidio Sementilli,William Russell Moore,Garfield Holland,total,share
24001,66,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.6947368421052632
24002,102,,,,,,,,,,,,,,,,,,,,,,,,,19,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,0.6219512195121951
24003,86,,,,,,,,,,,,,,,,,,,,,,,,,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,0.6277372262773723
24004,43,,,,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0.4942528735632184
24005,63,,,,,,,,,,,,,,,,,,,,,,,,,14,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0.504
24006,56,,,,,,,,,,,,,,,,,,,,,,,,,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0.5544554455445545
24007,79,,,,,,,,,,,,,,,,,,,,,,,,,17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0.632
24008,7,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.3181818181818182
24009,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
24010,28,,,,,,,,,,,,,,,,,,,,,,,,,13,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0.345679012345679
24011,31,,,,,,,,,,,,,,,,,,,,,,,,,17,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.34444444444444444
24013,110,,,,,,,,,,,,,,,,,,,,,,,,,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,0.6470588235294118
24014,64,,,,,,,,,,,,,,,,,,,,,,,,,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.6464646464646465
24015,57,,,,,,,,,,,,,,,,,,,,,,,,,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0.6404494382022472
24016,42,,,,,,,,,,,,,,,,,,,,,,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.5915492957746479
24017,108,,,,,,,,,,,,,,,,,,,,,,,,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,0.7659574468085106
24018,102,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,0.7906976744186046
24019,109,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,0.7622377622377622
24020,133,,,,,,,,,,,,,,,,,,,,,,,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.764367816091954
24021,142,,,,,,,,,,,,,,,,,,,,,,,,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.797752808988764
24022,93,,,,,,,,,,,,,,,,,,,,,,,,,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0.7099236641221374
