ed,Melanie D'Arrigo,Michael Weinstock,Shaniyat Chowdhury,Melquiades R. Gagarin,Sandra Choi,Paperboy Love Prince,Adem Bunkeddeko,Chaim M. Deutsch,Isiah James,Lutchi Gayot,Jonathan Herzog,Lindsey Boylan,Lauren Ashcraft,Peter Harrison,Suraj Patel,James Felton Keith II,Ramon Rodriguez,Badrun N. Khan,Michelle Caruso-Cabrera,Samuel H. Sloan,Andom Ghebreghiorgis,Christopher Fink,Eliot L. Engel,Jamaal Bowman,Sammy Ravelo,Thomas R. Suozzi,Gregory W. Meeks,Grace Meng,Nydia M. Velazquez,Yvette D. Clarke,Jerrold L. Nadler,Carolyn B. Maloney,Adriano Espaillat,Alexandria Ocasio-Cortez,Eliot L. Engel,total,share
24001,31,6,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,96,0.3854166666666667
24002,44,13,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,162,0.35185185185185186
24003,55,16,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,132,0.5378787878787878
24004,28,12,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,88,0.45454545454545453
24005,49,15,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,126,0.5079365079365079
24006,40,14,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,102,0.5294117647058824
24007,42,12,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,120,0.45
24008,13,4,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,25,0.68
24009,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1.0
24010,29,9,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,72,0.5277777777777778
24011,50,2,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,85,0.611764705882353
24013,56,23,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,168,0.47023809523809523
24014,26,13,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,93,0.41935483870967744
24015,31,12,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,90,0.4777777777777778
24061,51,18,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,112,0.6160714285714286
25025,35,17,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,92,0.5652173913043478
25058,29,11,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,77,0.5194805194805194
26003,51,10,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,111,0.5495495495495496
26004,26,5,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,66,0.4696969696969697
26005,23,8,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,68,0.45588235294117646
26006,26,21,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,98,0.47959183673469385
26007,20,6,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,55,0.4727272727272727
26008,51,14,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,145,0.4482758620689655
26009,43,21,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,148,0.43243243243243246
26010,45,17,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,138,0.4492753623188406
26011,22,8,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,89,0.33707865168539325
26012,24,11,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,83,0.42168674698795183
26013,33,11,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,99,0.4444444444444444
26014,37,9,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,104,0.4423076923076923
26015,27,17,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,148,0.2972972972972973
26016,44,15,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,154,0.38311688311688313
26017,26,9,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,99,0.35353535353535354
26018,24,9,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,73,0.4520547945205479
26019,26,11,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,89,0.4157303370786517
26020,35,17,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,215,0.24186046511627907
26021,25,27,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,124,0.41935483870967744
26022,32,24,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,154,0.36363636363636365
26023,40,22,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,140,0.44285714285714284
26024,46,21,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,159,0.42138364779874216
26025,17,31,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,123,0.3902439024390244
26026,48,25,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,203,0.35960591133004927
26027,33,11,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,128,0.34375
26028,38,8,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,141,0.3262411347517731
26029,46,11,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,156,0.36538461538461536
26030,55,8,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,173,0.36416184971098264
26031,38,11,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,148,0.3310810810810811
26032,39,15,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,137,0.39416058394160586
26033,43,19,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,165,0.37575757575757573
26034,47,21,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,144,0.4722222222222222
26035,42,12,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,107,0.5046728971962616
26045,49,15,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,153,0.41830065359477125
26046,48,18,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,165,0.4
26047,36,17,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,167,0.31736526946107785
26048,23,12,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,111,0.3153153153153153
26049,28,15,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,101,0.42574257425742573
26071,13,21,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,162,0.20987654320987653
26072,49,19,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,140,0.4857142857142857
26073,9,25,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,159,0.2138364779874214
26074,36,13,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,92,0.532608695652174
26075,22,15,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,118,0.3135593220338983
26076,17,7,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,68,0.35294117647058826
26077,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0
26078,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0
26079,22,4,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,62,0.41935483870967744
