ed,Alexandria Ocasio-Cortez,Samuel H. Sloan,Badrun N. Khan,Michelle Caruso-Cabrera,total,share
78037,12,2,2,2,18,0.6666666666666666
78040,181,7,5,46,239,0.7573221757322176
78041,207,1,2,58,268,0.7723880597014925
78055,0,0,0,0,0,0
78056,0,0,0,0,0,0
80001,74,1,5,24,104,0.7115384615384616
80002,117,0,3,20,140,0.8357142857142857
80003,92,2,1,59,154,0.5974025974025974
80004,65,0,4,31,100,0.65
80006,64,0,6,27,97,0.6597938144329897
80007,68,2,3,19,92,0.7391304347826086
80008,57,1,3,16,77,0.7402597402597403
80009,70,0,1,17,88,0.7954545454545454
80010,96,4,2,20,122,0.7868852459016393
80011,25,1,0,6,32,0.78125
80012,41,2,2,15,60,0.6833333333333333
80013,79,3,5,15,102,0.7745098039215687
80014,80,7,4,27,118,0.6779661016949152
80015,57,0,8,9,74,0.7702702702702703
80016,175,5,10,51,241,0.7261410788381742
80017,140,3,5,15,163,0.8588957055214724
80018,55,4,1,10,70,0.7857142857142857
80019,41,1,1,8,51,0.803921568627451
80020,111,1,4,33,149,0.7449664429530202
80021,193,3,5,20,221,0.8733031674208145
80022,162,4,7,27,200,0.81
80023,58,1,2,16,77,0.7532467532467533
80024,47,1,3,11,62,0.7580645161290323
80025,49,1,0,5,55,0.8909090909090909
80026,88,5,2,30,125,0.704
80027,55,2,1,18,76,0.7236842105263158
80028,87,0,0,26,113,0.7699115044247787
80030,80,0,2,33,115,0.6956521739130435
80031,123,2,5,50,180,0.6833333333333333
80032,66,0,1,25,92,0.717391304347826
80034,56,4,0,25,85,0.6588235294117647
80035,48,1,1,25,75,0.64
80036,112,3,3,29,147,0.7619047619047619
80037,64,0,1,19,84,0.7619047619047619
80038,70,2,2,16,90,0.7777777777777778
80039,111,18,9,38,176,0.6306818181818182
80040,63,2,2,14,81,0.7777777777777778
80041,142,1,4,28,175,0.8114285714285714
80042,96,2,2,33,133,0.7218045112781954
80043,82,0,5,15,102,0.803921568627451
80044,59,3,2,20,84,0.7023809523809523
80045,92,7,6,26,131,0.7022900763358778
80046,50,1,3,16,70,0.7142857142857143
80047,98,2,3,26,129,0.7596899224806202
80048,142,6,7,34,189,0.7513227513227513
80050,68,4,4,9,85,0.8
80051,68,2,5,12,87,0.7816091954022989
80052,106,6,3,31,146,0.726027397260274
80053,89,1,2,13,105,0.8476190476190476
80055,137,4,5,25,171,0.8011695906432749
80057,44,2,1,12,59,0.7457627118644068
80058,142,7,7,33,189,0.7513227513227513
80066,46,3,5,17,71,0.647887323943662
80067,110,3,3,26,142,0.7746478873239436
80068,89,1,3,25,118,0.7542372881355932
80069,76,3,7,21,107,0.7102803738317757
80070,109,3,2,25,139,0.7841726618705036
80071,105,6,3,34,148,0.7094594594594594
80074,123,5,0,28,156,0.7884615384615384
80075,3,0,0,0,3,1.0
80088,0,0,0,0,0,0
80093,34,1,0,3,38,0.8947368421052632
82001,56,3,0,83,142,0.39436619718309857
82002,68,5,1,50,124,0.5483870967741935
82003,28,2,1,47,78,0.358974358974359
82004,63,4,4,48,119,0.5294117647058824
82005,106,4,3,56,169,0.6272189349112426
82006,79,4,7,31,121,0.6528925619834711
82007,91,3,5,41,140,0.65
82008,153,4,2,50,209,0.7320574162679426
82009,134,7,7,32,180,0.7444444444444445
82010,141,7,2,24,174,0.8103448275862069
82011,99,2,7,29,137,0.7226277372262774
82012,57,3,4,12,76,0.75
82013,90,1,0,22,113,0.7964601769911505
82014,43,0,0,10,53,0.8113207547169812
82015,143,6,5,37,191,0.7486910994764397
82016,118,5,1,40,164,0.7195121951219512
82017,107,3,5,47,162,0.6604938271604939
82018,63,2,0,25,90,0.7
82019,45,1,1,29,76,0.5921052631578947
82020,50,1,0,31,82,0.6097560975609756
82021,73,2,3,22,100,0.73
82022,99,3,0,50,152,0.6513157894736842
82023,89,4,25,25,143,0.6223776223776224
82024,133,4,1,26,164,0.8109756097560976
82025,105,4,1,27,137,0.7664233576642335
82026,0,0,0,0,0,0
82027,94,3,17,10,124,0.7580645161290323
82028,131,3,7,24,165,0.793939393939394
82029,32,1,3,4,40,0.8
82030,144,6,18,19,187,0.7700534759358288
82031,115,3,72,15,205,0.5609756097560976
82032,81,1,1,39,122,0.6639344262295082
82033,97,1,2,32,132,0.7348484848484849
82034,76,3,3,18,100,0.76
